Name,City,Specialization,Hospital,description 
Dr. Sehrish Sohail,GUJRAT,Dermatologist,"Sohail Surgimed Hospital, mehmda chowk, Gujrat",Dermatologist
Dr. Touseef Ansar,GUJRAT,Dermatologist,No Address Available,Dermatologist
Dr. Fahad Usman,GUJRAT,Dermatologist,"Usman Medical Complex Hospital, Lalamusa District, Gujrat",Dermatologist
Dr. Zaigham Abbas,GUJRAT,Neurologist,"Irshad Neuro Care, Marghzar Colony, Gujrat",Neurologist
Dr. Robina Sajid,GUJRAT,Gynecologist,"Robina Sajid Hospital, Gulberg Colony, Gujrat",Gynecologist
Dr. Maria Younas,GUJRAT,Gynecologist,"Cheema Medcare Hospital., Rehman Shaheed Road, Gujrat",Gynecologist
Dr. Syeda Tayyaba Ali Zaidi,GUJRAT,"General Practitioner, Gynecologist",No Address Available,"General Practitioner, Gynecologist"
Assoc. Prof. Dr. Shahida Husain Tarar,GUJRAT,Gynecologist,"Lahore Medical Center, Servis Industries, Gujrat",Gynecologist
Dr. Faisal Ahmed Zaeem,GUJRAT,"Endourologist, Urologist","ACE Medical Centre, GT Road, Gujrat","Endourologist, Urologist"
Dr. Ashfaq Ali Awan,GUJRAT,Urologist,"City Hospital, Jail Road, Gujrat",Urologist
Asst. Prof. Dr. Mujahid Israr,GUJRAT,"Gastroenterologist, Liver Specialist, General Physician, Internal Medicine Specialist","Ikram Hospital, Marghzar Colony, Gujrat","Gastroenterologist, Liver Specialist, General Physician, Internal Medicine Specialist"
Dr. Syed Babar Hussnain,GUJRAT,"General Physician, General Physician, Gastroenterologist, Diabetologist","Al Muzammil Medical Center, Marghzar Colony, Gujrat","General Physician, General Physician, Gastroenterologist, Diabetologist"
Dr. Arif Masood,GUJRAT,"Chest Respiratory Specialist, Pulmonologist / Lung Specialist","Faazal Hospital, circular road Kunjah, Gujrat","Chest Respiratory Specialist, Pulmonologist / Lung Specialist"
Dr. Bilal Hussain,GUJRAT,Orthopedic Surgeon,"National Orthopedic Hospital, Bhimber Road Area, Gujrat",Orthopedic Surgeon
Dr. Rehan Sittar,GUJRAT,Orthopedic Surgeon,"Doctors Hospital Gujrat, Jail Road Area, Gujrat",Orthopedic Surgeon
Dr. Bilal Khalid,GUJRAT,Orthopedic Surgeon,"The Hand and Foot Surgery - Dr. Bilal Khalid, Main Satellite Town, Rawalpindi",Orthopedic Surgeon
Dr. Abdul Qadir,GUJRAT,Pediatrician,No Address Available,Pediatrician
Dr. Ijaz Ahmad,GUJRAT,Pediatrician,"Al fazal hospital, chak kamala, Gujrat",Pediatrician
Dr. Hasnain Ashraf,GUJRAT,Pediatrician,No Address Available,Pediatrician
Dr. Mian Jawad Ahmed,GUJRAT,Pediatrician,"Al-Majeed Children Hospital, Dinga, Gujrat",Pediatrician
Dr. Waqar Masood,GUJRAT,Pediatrician,No Address Available,Pediatrician
Dr. Usman Ali,GUJRAT,Pediatrician,"Noor Fatima Hospital, Dinga Road, Gujrat",Pediatrician
Dr. Aisha Razzaq,GUJRAT,Pediatrician,"Waqas medical complex, Bhimber road, Gujrat",Pediatrician
Asst. Prof. Dr. Mujahid Israr,GUJRAT,"Gastroenterologist, Liver Specialist, General Physician, Internal Medicine Specialist","Ikram Hospital, Marghzar Colony, Gujrat","Gastroenterologist, Liver Specialist, General Physician, Internal Medicine Specialist"
Dr. Syed Babar Hussnain,GUJRAT,"General Physician, General Physician, Gastroenterologist, Diabetologist","Al Muzammil Medical Center, Marghzar Colony, Gujrat","General Physician, General Physician, Gastroenterologist, Diabetologist"
Dr. Hafiz Adnan Aslam,GUJRAT,General Physician,No Address Available,General Physician
Dr. Abdul Haseeb,GUJRAT,General Physician,"Sahara Hospital, Main Bazar, Lalamusa",General Physician
Dr. Aqib Hanif,GUJRAT,General Physician,No Address Available,General Physician
Dr. Azaz Ali,GUJRAT,General Physician,No Address Available,General Physician
Dr. Pervez Ellahi,GUJRAT,General Physician,No Address Available,General Physician
Dr. Rabia,GUJRAT,General Physician,No Address Available,General Physician
Dr. Talha Ejaz,GUJRAT,General Physician,"MY Dentist Clinic, Mamada, Gujrat",General Physician
Dr. Syed Sulman Masood,GUJRAT,General Physician,"MY Dentist Clinic, Mamada, Gujrat",General Physician
Dr. Madiha Khalid,GUJRAT,General Physician,No Address Available,General Physician
Dr. Khansa Tariq,GUJRAT,Family Medicine,No Address Available,Family Medicine
Dr. Myra Liaqat,GUJRAT,Nephrologist,"Family Health Clinic, Bhimber road, Gujrat",Nephrologist
Dr. Sumreen Khan,GUJRAT,Ent Specialist,No Address Available,Ent Specialist
Dr. Sehrish Jabeen,HAFIZABAD,Gynecologist,"Dhq Hospital, Main Bazar, Hafizabad",Gynecologist
Prof. Dr. Brig Zaka Ullah Malik,HAFIZABAD,Orthopedic Surgeon,"Zam Zam Hospital, Bypass, Hafizabad",Orthopedic Surgeon
Dr. Maryam Saqib,HAFIZABAD,Pediatrician,"Saqib Bashir General Hospital, Thatha Phattak, Hafizabad",Pediatrician
Dr. Muhammad Awais,HAFIZABAD,Pediatrician,"BabyCare Clinic, Madrianwala Road, Hafizabad",Pediatrician
Dr. Abdul Samad Rasheed,HAFIZABAD,Pediatrician,"Eman Medical Tower, Main Hafizabaad, Hafizabad",Pediatrician
Dr. Abdullah Sarfraz Cheema,HAFIZABAD,General Physician,No Address Available,General Physician
Dr. Mirza Inam Ullah,HAFIZABAD,General Physician,No Address Available,General Physician
Dr. Waqas Ahmad,HAFIZABAD,General Physician,"Dhq Hospital, Main Bazar, Hafizabad",General Physician
Dr. Zainab,HAFIZABAD,Gynecologist,No Address Available,Gynecologist
Dr. Tariq Ali,HAFIZABAD,General Physician,"Home Visits (Hafizabad) Hospital, Hafizabad City, Hafizabad",General Physician
Dr. Rana Haseeb Nasir,HAFIZABAD,General Physician,"Dhq Hospital, Main Bazar, Hafizabad",General Physician
Dr. Hasham Ameen,HAFIZABAD,General Physician,No Address Available,General Physician
Dr. Shahzad Ahmad,HAFIZABAD,General Physician,"Dhq Hospital, Main Bazar, Hafizabad",General Physician
Dr. Zeeshan Saeed,HAFIZABAD,Nephrologist,"Eman Medical Tower, Main Hafizabaad, Hafizabad",Nephrologist
Dr. Umar Niazi,HANGU,Urologist,"Hangu Medical Complex Hospital, Hangu,Khyber Pahktunkhwa, Hangu",Urologist
Dr. Muhammad Atif Khan,HANGU,General Physician,"Hangu Medical Complex Hospital, Hangu,Khyber Pahktunkhwa, Hangu",General Physician
Dr. Niaz Akbar Afridi,HARIPUR,Dermatologist,"Allama Iqbal Hospital Haripur, Harbor, Haripur",Dermatologist
Dr. Faizan Ali,HARIPUR,Dermatologist,"Faizan Skin Care Clinic, Mohalla Asifabad, Haripur",Dermatologist
Dr. Zahid Hassan,HARIPUR,Neurologist,"IDC- ABBOTABAD, ground floor, Abbottabad",Neurologist
Dr. Malik Ehsan,HARIPUR,Neurologist,"Allama Iqbal Hospital Haripur, Harbor, Haripur",Neurologist
Dr. Nadia Abdullah,HARIPUR,Gynecologist,"NOOR SURGICAL HOSPITAL, Haripur, Haripur",Gynecologist
Dr. Farah Khan,HARIPUR,Gynecologist,"Zaitoon Medical Center, Near DHQ hospital, Abbottabad",Gynecologist
Dr. Ayesha Imtiaz,HARIPUR,Gynecologist,"Allama Iqbal Hospital Haripur, Harbor, Haripur",Gynecologist
Dr. Syed Danish Mehmood,HARIPUR,Orthopedic Surgeon,"Allama Iqbal Hospital Haripur, Harbor, Haripur",Orthopedic Surgeon
Asst. Prof. Dr. Muhammad Basharat,HARIPUR,Orthopedic Surgeon,"Yahya Hospital Haripur, Abbottabad Rd, Haripur",Orthopedic Surgeon
Dr. Syed Ali Abbas,HARIPUR,Orthopedic Surgeon,No Address Available,Orthopedic Surgeon
Dr. Najam Siddiqui,HARIPUR,Pediatrician,"Allama Iqbal Hospital Haripur, Harbor, Haripur",Pediatrician
Dr. Muhammad Jahangir Khan Afridi,HARIPUR,Pediatrician,"City Hospital, Gisako Colony, Peshawar",Pediatrician
Dr. Arif Hussain,HARIPUR,Pediatrician,"Allama Iqbal Hospital Haripur, Harbor, Haripur",Pediatrician
Dr. Ouun Ali,HARIPUR,Family Medicine,"Dr. Ouun Ali, Haripur, Haripur",Family Medicine
Dr. Muhammad Adnan,HARIPUR,General Physician,No Address Available,General Physician
Dr. Javeeda Hashmi,HARIPUR,General Physician,"Alhashmi Hospital Dr Jamil Ahmed Hashmi, Saddar Bazar, Haripur",General Physician
Dr. Anfal Tahir,HARIPUR,General Physician,"Allama Iqbal Hospital Haripur, Harbor, Haripur",General Physician
Dr. Zahid Qamar,HARIPUR,General Physician,"ONE Specialized Hospital &amp; Diagnostic Centre, Doctors Colony, Haripur",General Physician
Prof. Dr. Abdullah Naeem Syed,HARIPUR,"Eye Surgeon, Eye Specialist","NOOR SURGICAL HOSPITAL, Haripur, Haripur","Eye Surgeon, Eye Specialist"
Dr. Sunita Nankani,HYDERABAD,Dermatologist,"St. Elizabeth Hospital (American Hospital), Latifabad, Hyderabad",Dermatologist
Dr. Rauf Haroon Memon,HYDERABAD,Dermatologist,"Jeejal Maa Hospital, Qasimabad, Hyderabad",Dermatologist
Dr. Farid Shaikh,HYDERABAD,"Dermatologist, Dermatologist","Skincare Centre, Saddar, Hyderabad","Dermatologist, Dermatologist"
Asst. Prof. Dr. Quratulain Memon,HYDERABAD,Dermatologist,"Real Time Laboratary, Saddar, Hyderabad",Dermatologist
Dr. Zulfiqar Ali,HYDERABAD,Dermatologist,"Cutis Skin &amp; Laser Centre, Saddar, Hyderabad",Dermatologist
Dr. Sana Mughal,HYDERABAD,Dermatologist,"Luminous Skin Aesthetic Clinic, Phase 1, Hyderabad",Dermatologist
Dr. Mehak Shaikh,HYDERABAD,Dermatologist,"Shaikh Diagnostic Center, Latifabad, Hyderabad",Dermatologist
Dr. Asma Hassan,HYDERABAD,Dermatologist,"Dr. Asma Hassan Clinic, Latifabad Unit # 6, Hyderabad",Dermatologist
Dr. Deepa Rajani,HYDERABAD,Dermatologist,"Dr Nadeem Moin Clinic, Latifabad, Hyderabad",Dermatologist
Dr. Sadaf Riaz,HYDERABAD,Dermatologist,"Farah Consulting Chambers, Latifabad, Hyderabad",Dermatologist
Dr. Faryal Hussain Memon,HYDERABAD,Dermatologist,No Address Available,Dermatologist
Dr. Abida Ishtiaq,HYDERABAD,Dermatologist,No Address Available,Dermatologist
Dr. Masood Uz Zaman,HYDERABAD,Neurologist,"The Neuro Clinic, Saddar, Hyderabad",Neurologist
Dr. Rekha Kumari,HYDERABAD,Neurologist,"Advance MRI &amp; Diagnostic Center, Jamshoro Road, Hyderabad",Neurologist
Dr. Bashir Ahmed Soomro,HYDERABAD,Neurologist,No Address Available,Neurologist
Dr. Anwar M Qureshi,HYDERABAD,Neurologist,"Neuro Medical Centre, Latifabad, Hyderabad",Neurologist
Dr. Ambreen Ghori,HYDERABAD,Gynecologist,"St. Elizabeth Hospital, Latifabad, Hyderabad",Gynecologist
Asst. Prof. Dr. Anita Roshan,HYDERABAD,Gynecologist,"Jeejal Maa Hospital, Qasimabad, Hyderabad",Gynecologist
Dr. Khalida Avesi,HYDERABAD,Gynecologist,"Sehat Maternity And Child Hospital, (Opposite Police station Defence A on Ghazi road), Hyderabad",Gynecologist
Dr. Erum Memon,HYDERABAD,Gynecologist,"Mehmood Hospital, Qasimabad, Hyderabad",Gynecologist
Dr. Sadia Kadir,HYDERABAD,Gynecologist,No Address Available,Gynecologist
Dr. Razia Anees,HYDERABAD,Gynecologist,"Wapda Hospital, Hussainabad, Hyderabad",Gynecologist
Dr. Haleema Sadia,HYDERABAD,Gynecologist,No Address Available,Gynecologist
Dr. Anila Mujadid Qureshi,HYDERABAD,Gynecologist,"Ibne Qasim hospital, Qasimabad, Hyderabad",Gynecologist
Dr. Huma Soomro,HYDERABAD,Gynecologist,"Sindh Trauma Medical Center, Main Jamshoro Road, Hyderabad",Gynecologist
Dr. Kiran,HYDERABAD,Gynecologist,"Sindh Trauma Medical Center, Main Jamshoro Road, Hyderabad",Gynecologist
Dr. Ruksana Soomro,HYDERABAD,Gynecologist,"Sindh Trauma Medical Center, Main Jamshoro Road, Hyderabad",Gynecologist
Dr. Shaista Asif,HYDERABAD,Gynecologist,"Sehat maternity and child hospital, (Opposite Police station Defence A on Ghazi road), Hyderabad",Gynecologist
Assoc. Prof. Dr. Imran Memon,HYDERABAD,Urologist,"Sindh diagnostic center, Sadar, Hyderabad",Urologist
Dr. Salman Manzoor,HYDERABAD,Urologist,"Asian Lab / Usra University Hospital &amp; Diagnostic Lab, Latifabad, Hyderabad",Urologist
Dr. Kashif Ud Din Qayum Soomro,HYDERABAD,"Urologist, Andrologist, Sexologist","Doctors Line Hospital, Saddar, Hyderabad","Urologist, Andrologist, Sexologist"
Dr. Zainab,HYDERABAD,Gastroenterologist,No Address Available,Gastroenterologist
Asst. Prof. Dr. Adil Hassan Chang,HYDERABAD,Gastroenterologist,"Royal luxuria Advance mri and diagnostic center, Sindh, Hyderabad",Gastroenterologist
Asst. Prof. Dr. Shakir Hussain,HYDERABAD,Gastroenterologist,"Real time chamber, Sadar, Hyderabad",Gastroenterologist
Dr. Majid Ali Soomro,HYDERABAD,Gastroenterologist,"Dr Majid Ali Soomro Hospital, Saddar, Hyderabad",Gastroenterologist
Dr. Mohammad Akhbar,HYDERABAD,Gastroenterologist,"Asian Institute Of Medical Sciences Hospital, Near Isra University Hospital, Hyderabad",Gastroenterologist
Dr. Abdul Sattar Memon,HYDERABAD,Gastroenterologist,"Advance Mri And Diagnostic Centre, Saddar, Hyderabad",Gastroenterologist
Dr. Akram Bajwa,HYDERABAD,Gastroenterologist,"Dr Akram Bajwa Clinic, Saddar, Hyderabad",Gastroenterologist
Prof. Dr. Rasheed Ahmed Shaikh,HYDERABAD,Gastroenterologist,"Doctors Line Hospital, Saddar, Hyderabad",Gastroenterologist
Asst. Prof. Dr. Mubeen Ahmed Memon,HYDERABAD,Pulmonologist / Lung Specialist,"Indus Hospital, Ghareebabad, Nawabshah",Pulmonologist / Lung Specialist
Dr. Roshan Ali Memon,HYDERABAD,"Pulmonologist / Lung Specialist, Cardiologist","Farah Consulting Chambers, Latifabad, Hyderabad","Pulmonologist / Lung Specialist, Cardiologist"
Dr. Jawed Ulhadi Memon,HYDERABAD,Pulmonologist / Lung Specialist,"Data Medicare Hospital, Qasimabad, Hyderabad",Pulmonologist / Lung Specialist
Dr. Noman Ahmed,HYDERABAD,Pulmonologist / Lung Specialist,"Hilal-e-Ahmer Red Crescent General Hospital, Latifabad, Hyderabad",Pulmonologist / Lung Specialist
Dr. Sagheer Hussain,HYDERABAD,Pulmonologist / Lung Specialist,"Quaid-e-Azam Centre, Cantonment, Hyderabad, Hyderabad",Pulmonologist / Lung Specialist
Dr. Ishfaq Ali Kehar,HYDERABAD,Chest Respiratory Specialist,No Address Available,Chest Respiratory Specialist
Dr. Noorullah,HYDERABAD,Chest Respiratory Specialist,No Address Available,Chest Respiratory Specialist
Dr. Ghulam Murtaza,HYDERABAD,Pulmonologist / Lung Specialist,"Services Hospital Hyderabad, Qasimabad, Hyderabad",Pulmonologist / Lung Specialist
Dr. Gulzar Hussain Qureshi,HYDERABAD,Pulmonologist / Lung Specialist,"Doctors Line Hospital, Saddar, Hyderabad",Pulmonologist / Lung Specialist
Dr. Shohab Hyder Shaikh,HYDERABAD,Orthopedic Surgeon,"Najeeb Medical Complex, Sakrand road, Nawabshah",Orthopedic Surgeon
Dr. Asif Ali,HYDERABAD,Orthopedic Surgeon,"Ibne Qasim hospital, Qasimabad, Hyderabad",Orthopedic Surgeon
Dr. Raheel Akbar Baloch,HYDERABAD,Orthopedic Surgeon,"Ameen Diagnostic Center, Old civil line near excise office, Mirpur",Orthopedic Surgeon
Dr. Niaz Hussain,HYDERABAD,Orthopedic Surgeon,"Jeejal Maa Hospital, Qasimabad, Hyderabad",Orthopedic Surgeon
Dr. Asim Niaz,HYDERABAD,Orthopedic Surgeon,No Address Available,Orthopedic Surgeon
Asst. Prof. Dr. Mohsin Aijaz Soomro,HYDERABAD,Orthopedic Surgeon,"Sindh Trauma Medical Center, Main Jamshoro Road, Hyderabad",Orthopedic Surgeon
Dr. Jahanzeb Hassan,HYDERABAD,Orthopedic Surgeon,No Address Available,Orthopedic Surgeon
Dr. Muhammad Shahid Khan,HYDERABAD,Orthopedic Surgeon,"Aga Khan Maternal &amp; Child Care Centre, Jamshoro Road, Hyderabad",Orthopedic Surgeon
Dr. Najeeb Ur Rehman,HYDERABAD,Orthopedic Surgeon,"Jeejal Maa Hospital, Qasimabad, Hyderabad",Orthopedic Surgeon
Prof. Dr. Khalique Ahmed,HYDERABAD,Orthopedic Surgeon,"Isra University Hospital, Mirpur Khas Road, Hyderabad",Orthopedic Surgeon
Dr. Gulzar Saeed Khawaja,HYDERABAD,Orthopedic Surgeon,"CMH (Hyderabad), Cant, Hyderabad",Orthopedic Surgeon
Prof. Dr. Abdur Rehman Shaikh,HYDERABAD,Orthopedic Surgeon,"Pakistan Medical Center, Near Civil Hospital, Hyderabad",Orthopedic Surgeon
Prof. Dr. Muhammad Akbar Nizamani,HYDERABAD,Pediatrician,"Ayan Medical Centre, Saddar, Hyderabad",Pediatrician
Dr. Waqar Mangrio,HYDERABAD,Pediatrician,No Address Available,Pediatrician
Dr. Saima Shaikh,HYDERABAD,Pediatrician,No Address Available,Pediatrician
Dr. Muhammad Shoaib,HYDERABAD,Pediatrician,"I.R Medicare, Latifabad, Hyderabad",Pediatrician
Dr. Sunail Abbas Khuwaja,HYDERABAD,Pediatrician,No Address Available,Pediatrician
Dr. Saeed Ahmed Shaikh,HYDERABAD,Pediatrician,"Sehat maternity and child hospital, (Opposite Police station Defence A on Ghazi road), Hyderabad",Pediatrician
Dr. Mumtaz Ali,HYDERABAD,Pediatrician,"Al-Khidmat Hospital Mother &amp; Child Healthcare, Latifabad, Hyderabad",Pediatrician
Dr. Saqib Raza,HYDERABAD,Pediatrician,"Khidmat E Khalq Foundation Hospital, Opp Railway Station, Hyderabad",Pediatrician
Dr. Suresh Kumar,HYDERABAD,Pediatrician,"St. Elizabeth Hospital, Latifabad, Hyderabad",Pediatrician
Dr. Nr Veerwani,HYDERABAD,Pediatrician,"Home Visit, Qasimabad, Hyderabad",Pediatrician
Dr. Javed Hussain,HYDERABAD,Pediatrician,"Mehran Hospital, Qasimabad, Hyderabad",Pediatrician
Dr. Abdul Rehman Syial,HYDERABAD,Pediatrician,"Aga Khan Maternal &amp; Child Care Centre, Jamshoro Road, Hyderabad",Pediatrician
Dr. Sultan Ahmed,HYDERABAD,"Internal Medicine Specialist, General Physician, Endocrinologist, Diabetologist","Advanced MRI Diagnostic Centre, Qasimabad, Hyderabad","Internal Medicine Specialist, General Physician, Endocrinologist, Diabetologist"
Dr. M Amin Memon,HYDERABAD,General Physician,"Care and Cure Medical And Surgical Clinic, Naseem Nagar, Hyderabad",General Physician
Dr. Sanam Faisal,HYDERABAD,General Physician,"Nursing Home Care, Qasimabad, Hyderabad",General Physician
Dr. Rachhpal Virwani,HYDERABAD,Cardiologist,No Address Available,Cardiologist
Dr. Asif Talpur,HYDERABAD,General Physician,No Address Available,General Physician
Dr. Paras,HYDERABAD,General Physician,No Address Available,General Physician
Dr. Ummulbaneen Aijaz,HYDERABAD,General Physician,No Address Available,General Physician
Dr. Nayab Samar,HYDERABAD,Cosmetic Surgeon,No Address Available,Cosmetic Surgeon
Dr. Saba Mir,HYDERABAD,General Physician,"Ahmed Khan Hospital, Phase 2 Qasimabad, Hyderabad",General Physician
Dr. Annam Bhutto,HYDERABAD,Cardiologist,No Address Available,Cardiologist
Dr. Rahila Amjad,HYDERABAD,Dermatologist,No Address Available,Dermatologist
Dr. Wamiq Anjum,HYDERABAD,General Physician,No Address Available,General Physician
Dr. Tanveer Shaikh,HYDERABAD,Nephrologist,"Red Crescent General Hospital / Hilal-e-Ahmer, minara road, Sukkur",Nephrologist
Dr. Kashif Ud Din Qayum Soomro,HYDERABAD,"Urologist, Andrologist, Sexologist","Doctors Line Hospital, Saddar, Hyderabad","Urologist, Andrologist, Sexologist"
Dr. Syed Abdul Aleem,HYDERABAD,Ent Specialist,"Doctors Line Hospital, Saddar, Hyderabad",Ent Specialist
Dr. Rais-uddin Siddique,HYDERABAD,Ent Specialist,"Doctors Line Hospital, Saddar, Hyderabad",Ent Specialist
Prof. Dr. Gul Muhammad Memon,HYDERABAD,Ent Specialist,"14/7 Avenue, Civil Lines, Hyderabad",Ent Specialist
Dr. Lubna Zubair Alam,HYDERABAD,Ent Specialist,"20/A, Al-Mustafa Homes, Latifabad, Hyderabad",Ent Specialist
Dr. Muhammad Shafi Shaikh,HYDERABAD,Ent Specialist,"Near Hassan X-Ray, 0, Hyderabad",Ent Specialist
Dr. Roopchand P-lillani,HYDERABAD,Ent Specialist,"Gareeb Nawaz Colony, 0, Hyderabad",Ent Specialist
Dr. Jamil Ahmed,HYDERABAD,Eye Surgeon,"Laser Sight Advanced Laser Eye Clinic, Latifabad, Hyderabad",Eye Surgeon
Asst. Prof. Dr. Azfar Ahmed Mirza,HYDERABAD,Eye Surgeon,"Laser Sight Advanced Laser Eye Clinic, Latifabad, Hyderabad",Eye Surgeon
Dr. Nusrat Shah Khan,HYDERABAD,Eye Surgeon,"Abeer Eye Clinic, Latifabad, Hyderabad",Eye Surgeon
Dr. Irfan Ali Shah,HYDERABAD,Neuro Surgeon,"City Hospital, Saadi Town, Karachi",Neuro Surgeon
Dr. Sanaullah Pathan,HYDERABAD,Neuro Surgeon,"Sehat Medical and Trauma Center, Latifabad, Hyderabad",Neuro Surgeon
Dr. Muhammad Hamid Ali,HYDERABAD,Neuro Surgeon,"Sehat Medical and Trauma Center, Latifabad, Hyderabad",Neuro Surgeon
Dr. Abdul Manan,HYDERABAD,Neuro Surgeon,"Isra University Hospital, Mirpur Khas Road, Hyderabad",Neuro Surgeon
Asst. Prof. Dr. Tuncay Tas,ISTANBUL,Urologist,"Istanbul Cerrahi Hospital, Sisli, Istanbul",Urologist
Dr. Rasim Guzel,ISTANBUL,Urologist,"Medistate Kavacik Hospital, Kavacik Beykoz, Istanbul",Urologist
Assoc. Prof. Dr. Kaya Husnu Akan,ISTANBUL,Orthopedic Surgeon,"Okan University Hospital, Tuzla Turkey, Istanbul",Orthopedic Surgeon
Dr. Mustafa Tekkesin,ISTANBUL,Orthopedic Surgeon,"Medistate Kavacik Hospital, Kavacik Beykoz, Istanbul",Orthopedic Surgeon
Dr. Fatma Cakmak Celik,ISTANBUL,Pediatrician,"Medistate Kavacik Hospital, Kavacik Beykoz, Istanbul",Pediatrician
Dr. Tayfun Oguzoglu,ISTANBUL,General Physician,"Medistate Kavacik Hospital, Kavacik Beykoz, Istanbul",General Physician
Dr. Berrin Toksu,ISTANBUL,Eye Surgeon,"Istanbul Cerrahi Hospital, Sisli, Istanbul",Eye Surgeon
Dr. Nihal Balcioglu,ISTANBUL,Eye Surgeon,"Medistate Kavacik Hospital, Kavacik Beykoz, Istanbul",Eye Surgeon
Dr. Ahmet Ogrenci,ISTANBUL,Neuro Surgeon,"Okan University Hospital, Tuzla Turkey, Istanbul",Neuro Surgeon
Dr. Hayati Turker,IZMIR,Eye Surgeon,"Netgoz Eye Hospital, YalÄ± Mahallesi, Izmir",Eye Surgeon
Dr. Sohail Ahmed Khan,JACOBABAD,Dermatologist,No Address Available,Dermatologist
Dr. Hira Tariq,JACOBABAD,General Physician,No Address Available,General Physician
Dr. Asad Ghani,JACOBABAD,General Physician,"Civil Hospital Jacobabad, Dastagir road, Jacobabad",General Physician
Dr. Atif Gul,JAMSHORO,Dermatologist,"Shahbaz Medical Center, Phase 1, Jamshoro",Dermatologist
Dr. Sanam Shah,JAMSHORO,Gynecologist,"Matrinity home, Sindh, Jamshoro",Gynecologist
Dr. Nosheen Shehzad,JAMSHORO,Gynecologist,"Dr. Nosheen Shahzad Nizamani Clinic, sindh university employ cooperative housing society, Jamshoro",Gynecologist
Dr. Amna Memon,JAMSHORO,Gynecologist,"Liaquat University of Medical and Health Sciences, 0, Jamshoro",Gynecologist
Dr. Zainab Shahid,JAMSHORO,Ent Specialist,No Address Available,Ent Specialist
Dr. Noreen Bilal,JARANWALA,Gynecologist,"Chattha Hospital, Faisalabad Road, Jaranwala",Gynecologist
Dr. Inam Ul Haq,JARANWALA,Gastroenterologist,"Doctors Center, water works road, Jaranwala",Gastroenterologist
Dr. Waqar Chudhary,JARANWALA,General Physician,"Chattha Hospital, Faisalabad Road, Jaranwala",General Physician
Dr. Waseem Zaman,JAUHARABAD,Dermatologist,"Raja Sarfaraz Memorial Hospital, punjab, Jauharabad",Dermatologist
Dr. Ehsan Kalera,JAUHARABAD,Dermatologist,"Al Noor Hospital Jauharabad, Khushab, Jauharabad",Dermatologist
Dr. Syeda Zahra Zafar Naqvi,JAUHARABAD,Gynecologist,"Al Zahra Hospital, Main DHQ Road, Jauharabad",Gynecologist
Dr. Nosheen Afzal Malik,JAUHARABAD,Gynecologist,No Address Available,Gynecologist
Asst. Prof. Dr. Nabeel Shafi,JAUHARABAD,Urologist,"Awan Hospital, Jauharabad, Khushab",Urologist
Dr. Irfan Ahmad,JAUHARABAD,General Physician,No Address Available,General Physician
Dr. Iqra Javaid,JAUHARABAD,General Physician,No Address Available,General Physician
Dr. Bushra Batool,JAUHARABAD,General Physician,"Askari homeo health care clinic, Khushab, Jauharabad",General Physician
Dr. Faiza Malik,JAUHARABAD,Ent Specialist,No Address Available,Ent Specialist
Dr. Nuzhat Fatima,JHANG,Gynecologist,"Dr. Nuzhat Fatima Clinic, mohalla burji wala, Jhang",Gynecologist
Dr. Rahat Farwa,JHANG,Gynecologist,"Salman Neuro Centre, BHAKKAR, Jhang",Gynecologist
Dr. Zain Ul Abdeen,JHANG,Gastroenterologist,"Wajahat Shaheed Gastro Clinic, Setellite Town, Jhang",Gastroenterologist
Dr. Muhammad Jamil Mohsin,JHANG,Orthopedic Surgeon,"Kaleem Medicare, Sadar, Jhang",Orthopedic Surgeon
Dr. Muhammad Waqas,JHANG,Orthopedic Surgeon,No Address Available,Orthopedic Surgeon
Dr. Rai Khizar Bhatti,JHANG,Orthopedic Surgeon,No Address Available,Orthopedic Surgeon
Dr. Hafiz Iftikhar Hussain Sajoka,JHANG,Pediatrician,"Al-Hassan Children Clinic Jhang, Chiniot Road, Jhang",Pediatrician
Dr. Nasir Baloch,JHANG,Pediatrician,No Address Available,Pediatrician
Dr. Sobia Khaliq,JHANG,Pediatrician,No Address Available,Pediatrician
Dr. Abbas Ali Shah,JHANG,General Physician,"Home Visits, DHA Defence, Lahore",General Physician
Dr. Sajjad Malik,JHANG,General Physician,No Address Available,General Physician
Dr. Sohaib Raza Siyal,JHANG,General Physician,No Address Available,General Physician
Dr. Muhammad Sajid Sial,JHANG,General Physician,No Address Available,General Physician
Dr. Ahmad Farhan,JHANG,General Physician,"Dr. Rao Arshad Clinic, punjab, Jhang",General Physician
Dr. Malik Aftab Afzal,JHELUM,Dermatologist,"Aesthetics Lounge (F 11), Islamabad, Islamabad",Dermatologist
Dr. Brig. Mehmood Ahmad,JHELUM,Dermatologist,"Cmh Hospital, Cantt, Jhelum",Dermatologist
Dr. Muhammad Suhail Amin,JHELUM,Dermatologist,"Cmh Hospital, Cantt, Jhelum",Dermatologist
Dr. Sarmad Hafeez,JHELUM,Gynecologist,"Sarmad Hospital, Mohalla Islampura, Jhelum",Gynecologist
Dr. Sara Noor,JHELUM,Gynecologist,No Address Available,Gynecologist
Dr. Ambreen Shabbir,JHELUM,Gynecologist,"Heart Centre Jhelum, Machine Mohalla No.3 Jhelum, OLD GT road, Jhelum",Gynecologist
Dr. Ahsan Ayub,JHELUM,Urologist,"Imtiaz medical center, DHQ hospital, Jhelum",Urologist
