Name,City,Specialization,Hospital,description 
Dr. Summera Bi Bi,WAH-CANTT,Gynecologist,No Address Available,Gynecologist
Dr. Sobia Khan,WAH-CANTT,Gynecologist,No Address Available,Gynecologist
Dr. Breera Tariq,WAH-CANTT,Gynecologist,No Address Available,Gynecologist
Dr. Sara Ali,WAH-CANTT,Gynecologist,No Address Available,Gynecologist
Dr. Musab Umair Khalid,WAH-CANTT,Urologist,"Begum Haseena Memorial Hospital, Phase 2 New City, Wah Cantt, Rawalpindi,, Wah Cantt",Urologist
Dr. Muhammad Ali Sajid,WAH-CANTT,Urologist,"Pof Hospital, Quaid Avenue, Wah Cantt",Urologist
Dr. Aziz Ul Qadir Awan,WAH-CANTT,Pulmonologist / Lung Specialist,"Shamshad Aslam Hospital, Shah Wali Colony, Wah Cantt",Pulmonologist / Lung Specialist
Dr. Sher Dil Khan,WAH-CANTT,Orthopedic Surgeon,"City Hospital, Lala Rukh (Basti), Wah Cantt",Orthopedic Surgeon
Dr. Tahniyat Huq,WAH-CANTT,Pediatrician,No Address Available,Pediatrician
Dr. Sobia Jabeen,WAH-CANTT,Pediatrician,No Address Available,Pediatrician
Dr. Saima Tabasum,WAH-CANTT,Gynecologist,No Address Available,Gynecologist
Dr. Azka Nawaz,WAH-CANTT,General Physician,No Address Available,General Physician
Dr. Kainat Gohar,WAH-CANTT,"Homeopath, General Physician","City Hospital, The Mall Road, Wah Cantt","Homeopath, General Physician"
Dr. Muhammad Mazahir Alam,WAH-CANTT,General Physician,"Farooq Medical And Dental Clinic, Wah Cantt, Wah Cantt",General Physician
Dr. Mishal Saleem,WAH-CANTT,Medical Specialist,"Wah Medical College Hospital, Wah, Wah Cantt",Medical Specialist
Dr. Rushna Arif,WAH-CANTT,General Physician,No Address Available,General Physician
Dr. Sarwat Jabeen,WAH-CANTT,General Physician,No Address Available,General Physician
Dr. Muhammad Kashif,WAH-CANTT,General Physician,"Ayaz Memorial Hospital, Wah Cantt, Rawalpindi",General Physician
Dr. Saima Umair,WAH-CANTT,General Physician,No Address Available,General Physician
Dr. Rabail Khizer,WAH-CANTT,General Physician,No Address Available,General Physician
Dr. Kiran Pervaiz,WAH-CANTT,General Physician,"Home Visits (Wah Cantt), Wah Cantt, Wah Cantt",General Physician
Dr. Hafiz Abdullah Alam,WAH-CANTT,General Physician,"Home Visits (Wah Cantt) Hospital, Wah Cantt, Wah Cantt",General Physician
Dr. Ayesha Aziz,WAH-CANTT,Nephrologist,No Address Available,Nephrologist
Dr. Tayyaba Siddique,WAZIRABAD,Gynecologist,"Life Care Hospital Gujranwala, Allama Iqbal Town, Gujranwala",Gynecologist
Dr. Ali Akbar Sial,WAZIRABAD,Pediatrician,"Mother and child care complex, Sialkot Road, Wazirabad",Pediatrician
Dr. Ali Zain,WAZIRABAD,General Physician,"Batool family clinic, 0, Wazirabad",General Physician
Dr. Habib Ur Rehman Butt,WAZIRABAD,General Physician,No Address Available,General Physician
Dr. Fahad Zulfiqar,WAZIRABAD,General Physician,"Pak Blood Welfare Hospital, Gujranwala, Gujranwala",General Physician
Dr. Umer Mushtaq,LAHORE,Dermatologist,"Chughtai Medical Centre ,, DHA Phase 4, Lahore",Dermatologist
Dr. Sadaf Amin,LAHORE,Dermatologist,"Hussain Memorial Hospital, Sodiwal Samanabad, Lahore",Dermatologist
Dr. Rabia Ishfaq,LAHORE,Dermatologist,"Health City Hospital, Wapda Town Extension, Lahore",Dermatologist
Prof. Dr. Zahida Rani,LAHORE,Dermatologist,"Khan Skin &amp; Laser Center, Commissioner road, Sialkot",Dermatologist
Dr. Muhammad Amjad,LAHORE,Dermatologist,"Zarar Shaheed Trust Hospital, Barki, Lahore",Dermatologist
Asst. Prof. Dr. Aisha Ghias,LAHORE,Dermatologist,"The University of Lahore Teaching Hospital, Bhubtian Chowk Raiwind Road, Lahore",Dermatologist
Asst. Prof. Dr. Sana Younas,LAHORE,Dermatologist,"Surgimed Hospital, Gulberg 4, Lahore",Dermatologist
Dr. Fatima Saba,LAHORE,Dermatologist,No Address Available,Dermatologist
Dr. Hina Ehsan,LAHORE,Dermatologist,No Address Available,Dermatologist
Dr. Aisha Ahmad,LAHORE,Dermatologist,"Skinnovation, Johar Town, Lahore",Dermatologist
Dr. Qurat Ul Ain Sajida,LAHORE,Dermatologist,"Doctors Hospital, Johar Town, Lahore",Dermatologist
Dr. Munashra Anam,LAHORE,Dermatologist,No Address Available,Dermatologist
Asst. Prof. Dr. Waqas Arshad,LAHORE,Neurologist,"Chughtai Medical Center Jail Road, Gulberg 5, Lahore",Neurologist
Dr. Moazzam Javaid Cheema,LAHORE,Neurologist,"Central Hospital Gujranwala, GT Road, Gujranwala",Neurologist
Prof. Dr. Sajjad Naseer,LAHORE,Neurologist,"Neauro Diagnostic Centre, Thokar Niaz Baig, Lahore",Neurologist
Asst. Prof. Dr. Rashid Imran,LAHORE,Neurologist,"Hameed Latif Hospital, Garden Town, Lahore",Neurologist
Assoc. Prof. Dr. Buland Akhtar,LAHORE,Neurologist,"Omar Hospital &amp; Cardiac Centre, Jail Road, Lahore",Neurologist
Dr. Sajid Abbas,LAHORE,Neurologist,"Punjab institute of Neuro sciences, Near Lahore General Hospital, Lahore",Neurologist
Dr. Abubakar Siddique,LAHORE,Neurologist,"Bahria International Hospital, Bahria Town, Lahore",Neurologist
Dr. Ammar Yasir,LAHORE,Neurologist,"IDC Jinnah Hospital, Faisal Town, Lahore",Neurologist
Dr. Mamoona Tanwir Rana,LAHORE,Neurologist,"Akhtar Saeed Trust Hospital, DHA Defence, Lahore",Neurologist
Dr. Khawaja Muhammad Ali,LAHORE,Neurologist,"Bajwa Hospital, Shahdara, Lahore",Neurologist
Dr. Muhammad Ahmar,LAHORE,Neurologist,"Iqra Medical Complex Hospital, Johar Town, Lahore",Neurologist
Dr. Bilal Ahmed,LAHORE,Neurologist,"Punjab Institute Of Neurosciences (PINS), Ferozepur Road, Lahore",Neurologist
Dr. Asma Jabeen,LAHORE,Gynecologist,No Address Available,Gynecologist
Dr. Mariam Khalid,LAHORE,Gynecologist,"Saira Memorial Hospital, Model Town, Lahore",Gynecologist
Assoc. Prof. Dr. Misbah Malik,LAHORE,Gynecologist,"Iqraa Medical Complex Ext Hospital, Johar Town, Lahore",Gynecologist
Assoc. Prof. Dr. Khadija Asim Khan,LAHORE,Gynecologist,"Khair-Un-Nisa Hospital, Faisal Town, Lahore",Gynecologist
Asst. Prof. Dr. Rubina Farrukh,LAHORE,Gynecologist,"Iqra Medical Complex Hospital, Johar Town, Lahore",Gynecologist
Assoc. Prof. Dr. Saima Zaki,LAHORE,Gynecologist,"Iqra Medical Complex Hospital, Johar Town, Lahore",Gynecologist
Prof. Dr. Shaheena Asif,LAHORE,Gynecologist,"Surgimed Hospital, Gulberg 4, Lahore",Gynecologist
Dr. Sadia,LAHORE,Gynecologist,No Address Available,Gynecologist
Dr. Somia Sabeeh Awan,LAHORE,Gynecologist,"Jamila Fareedy Medical Centre, Johar Town, Lahore",Gynecologist
Prof. Dr. Nazli Hameed,LAHORE,Gynecologist,"Shalamar Hospital, MughalPura, Lahore",Gynecologist
Dr. Romana Amir,LAHORE,Gynecologist,"The University of Lahore Teaching Hospital, Bhubtian Chowk Raiwind Road, Lahore",Gynecologist
Dr. Naheed Akhtar Rana,LAHORE,"Gynecologist, Laparoscopic Surgeon","Hameed Latif Hospital, Garden Town, Lahore","Gynecologist, Laparoscopic Surgeon"
Assoc. Prof. Dr. Muhammad Farooq,LAHORE,"Urologist, Sexologist, Andrologist","Punjab Medical Center, Jail Road, Lahore","Urologist, Sexologist, Andrologist"
Dr. Faizan Haider Rizvi,LAHORE,Urologist,"Children Family and Urology Clinic, Raiwind Road, Lahore",Urologist
Prof. Dr. Khizer Hayat Gondal,LAHORE,"Urologist, Sexologist, Andrologist","Doctors Hospital, Johar Town, Lahore","Urologist, Sexologist, Andrologist"
Prof. Dr. Fawad Nasrullah,LAHORE,"Urologist, Sexologist, Urologist, Endourologist, Andrologist","Chughtai Medical Center Johar Town, Johar Town, Lahore","Urologist, Sexologist, Urologist, Endourologist, Andrologist"
Dr. Saleem Malik,LAHORE,"Urologist, Sexologist, Andrologist","Alim khatoon Medicare, Green Town, Lahore","Urologist, Sexologist, Andrologist"
